2026-01-29 22:05:19 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:30:51 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:30:53 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 2/3
2026-01-29 22:31:02 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:31:04 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 3/3
2026-01-29 22:32:28 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:32:30 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 2/3
2026-01-29 22:33:04 | ERROR | Failed: 配图2：信号1（注意力稀缺）
2026-01-29 22:33:04 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 1/3
2026-01-29 22:33:10 | ERROR | Failed: 配图4：信号3（信任从关注变成交付）
2026-01-29 22:33:10 | INFO | [6/8] 配图5：判断框（3个判断） attempt 1/3
2026-01-29 22:35:07 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:35:07 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:35:15 | INFO | [1/8] 封面图（知识黑板报风格） attempt 1/3
2026-01-29 22:35:30 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:35:32 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 3/3
2026-01-29 22:36:06 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:36:08 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 2/3
2026-01-29 22:36:12 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:36:14 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 3/3
2026-01-29 22:36:56 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:36:58 | INFO | [1/8] 封面图（知识黑板报风格） attempt 2/3
2026-01-29 22:37:11 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:37:13 | INFO | [6/8] 配图5：判断框（3个判断） attempt 2/3
2026-01-29 22:37:13 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:37:15 | INFO | [6/8] 配图5：判断框（3个判断） attempt 3/3
2026-01-29 22:37:31 | ERROR | Failed: 配图2：信号1（注意力稀缺）
2026-01-29 22:37:31 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 1/3
2026-01-29 22:39:43 | ERROR | Failed: 配图3：信号2（生产成本下降）
2026-01-29 22:39:43 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 1/3
2026-01-29 22:39:46 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:39:46 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:39:56 | INFO | [1/8] 封面图（知识黑板报风格） attempt 1/3
2026-01-29 22:40:05 | ERROR | Failed: 配图5：判断框（3个判断）
2026-01-29 22:40:05 | INFO | [7/8] 配图6：五个动作 attempt 1/3
2026-01-29 22:41:10 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:41:12 | INFO | [1/8] 封面图（知识黑板报风格） attempt 3/3
2026-01-29 22:41:12 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:41:12 | INFO | [2/8] 配图1：红利三要素 attempt 1/3
2026-01-29 22:42:11 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:42:13 | INFO | [7/8] 配图6：五个动作 attempt 2/3
2026-01-29 22:42:13 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:42:15 | INFO | [7/8] 配图6：五个动作 attempt 3/3
2026-01-29 22:43:19 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:43:21 | INFO | [2/8] 配图1：红利三要素 attempt 2/3
2026-01-29 22:44:28 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:44:30 | INFO | [1/8] 封面图（知识黑板报风格） attempt 2/3
2026-01-29 22:45:43 | ERROR | Failed: 配图6：五个动作
2026-01-29 22:45:43 | INFO | [8/8] 配图7：现实提醒 attempt 1/3
2026-01-29 22:46:31 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:46:33 | INFO | [1/8] 封面图（知识黑板报风格） attempt 3/3
2026-01-29 22:47:43 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:47:45 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 2/3
2026-01-29 22:47:45 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:47:47 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 3/3
2026-01-29 22:48:33 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:48:33 | INFO | [2/8] 配图1：红利三要素 attempt 1/3
2026-01-29 22:48:34 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:48:36 | INFO | [2/8] 配图1：红利三要素 attempt 2/3
2026-01-29 22:49:43 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:49:45 | INFO | [8/8] 配图7：现实提醒 attempt 2/3
2026-01-29 22:51:43 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:51:45 | INFO | [2/8] 配图1：红利三要素 attempt 3/3
2026-01-29 22:51:45 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:51:47 | INFO | [8/8] 配图7：现实提醒 attempt 3/3
2026-01-29 22:51:47 | ERROR | Failed: 配图7：现实提醒
2026-01-29 22:51:47 | INFO | Index: E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\images\gongchang\index.json
2026-01-29 22:51:47 | INFO | NOTE: Watermark/Logo (if any) is preserved as generated by Gemini.
2026-01-29 22:51:47 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-爆款开头结构.md
2026-01-29 22:51:47 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:51:53 | INFO | [1/8] 封面图 attempt 1/3
2026-01-29 22:52:05 | ERROR | Failed: 配图1：红利三要素
2026-01-29 22:52:05 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 1/3
2026-01-29 22:52:52 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:52:54 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 2/3
2026-01-29 22:54:54 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:54:56 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 3/3
2026-01-29 22:55:02 | ERROR | Failed: 配图3：信号2（生产成本下降）
2026-01-29 22:55:02 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 1/3
2026-01-29 22:55:07 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:55:09 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 2/3
2026-01-29 22:55:11 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:55:13 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 2/3
2026-01-29 22:57:57 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:57:57 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:57:59 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 3/3
2026-01-29 22:57:59 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 3/3
2026-01-29 22:58:01 | ERROR | Failed: 配图4：信号3（信任从关注变成交付）
2026-01-29 22:58:01 | INFO | [6/8] 配图5：判断框（3个判断） attempt 1/3
2026-01-29 22:58:01 | ERROR | Failed: 配图2：信号1（注意力稀缺）
2026-01-29 22:58:01 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 1/3
